name,course_id,n_reviews,mean_rating,language,course_difficulty,course_students_enrolled,MOOC
Fundamentals of Reinforcement Learning,fundamentals-of-reinforcement-learning,377.0,4.689655172413793,English,Intermediate,22000,Coursera
The Power of Macroeconomics: Economic Principles in the Real World,principles-of-macroeconomics,504.0,4.619047619047619,English,Mixed,180000,Coursera
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,corp-sustainability,90.0,4.633333333333334,English,Mixed,10000,Coursera
Behavioral Finance,duke-behavioral-finance,611.0,4.124386252045826,English,Mixed,55000,Coursera
Supply Chain Logistics,supply-chain-logistics,1417.0,4.710656316160903,English,Beginner,66000,Coursera
Project Execution,project-execution,18.0,3.7222222222222223,English,Beginner,70000,Coursera
Nutrición y obesidad: control de sobrepeso,nutricion-obesidad-sobrepeso,1523.0,4.789231779382797,Spanish,Beginner,100000,Coursera
Microeconomics Principles,microeconomics,375.0,4.8293333333333335,English,Beginner,73000,Coursera
Creative Writing: The Craft of Plot,craft-of-plot,1048.0,4.648854961832061,English,Mixed,120000,Coursera
Oil & Gas Industry Operations and Markets,oilandgas,1120.0,4.823214285714286,English,Mixed,57000,Coursera
Design Thinking for Innovation,uva-darden-design-thinking-innovation,1823.0,4.667032364234778,English,Beginner,240000,Coursera
Learn to Program: The Fundamentals,learn-to-program,1347.0,4.734966592427617,English,Beginner,180000,Coursera
Financial Accounting Fundamentals,uva-darden-financial-accounting,413.0,4.837772397094431,English,Beginner,65000,Coursera
Finding Purpose and Meaning In Life: Living for What Matters Most,finding-purpose-and-meaning-in-life,293.0,4.795221843003413,English,Beginner,36000,Coursera
Understanding Clinical Research: Behind the Statistics,clinical-research,630.0,4.831746031746032,English,Mixed,78000,Coursera
Epidemiology: The Basic Science of Public Health,epidemiology,845.0,4.65207100591716,English,Mixed,130000,Coursera
Fashion as Design,fashion-design,529.0,4.8279773156899815,English,Beginner,180000,Coursera
Teamwork Skills: Communicating Effectively in Groups,teamwork-skills-effective-communication,599.0,4.772954924874791,English,Beginner,49000,Coursera
Feminism and Social Justice,feminism-social-justice,779.0,4.818998716302953,English,Beginner,18000,Coursera
International Organizations Management,international-organizations-management,282.0,4.801418439716312,English,Beginner,20000,Coursera
Marketing Digital,estrategia-marketing-digital,431.0,4.709976798143852,Indonesia,Beginner,81000,Coursera
Fundamentals of GIS,gis,1198.0,4.852253756260434,English,Beginner,86000,Coursera
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,elearning,83.0,4.542168674698795,English,Mixed,17000,Coursera
"Excel/VBA for Creative Problem Solving, Part 1",excel-vba-for-creative-problem-solving-part-1,730.0,4.817808219178082,English,Beginner,54000,Coursera
Rethinking International Tax Law,international-taxation,213.0,4.854460093896714,English,Mixed,36000,Coursera
Understanding and Visualizing Data with Python,understanding-visualization-data,308.0,4.542207792207792,English,Beginner,30000,Coursera
Fundamentals of Visualization with Tableau,data-visualization-tableau,956.0,4.304393305439331,English,Beginner,81000,Coursera
Getting Started with SAS Programming,sas-programming-basics,319.0,4.8808777429467085,English,Beginner,22000,Coursera
Machine Learning for All,uol-machine-learning-for-all,583.0,4.675814751286449,English,Beginner,19000,Coursera
Using Databases with Python,python-databases,2684.0,4.7011922503725785,English,Mixed,220000,Coursera
Addiction Treatment: Clinical Skills for Healthcare Providers,addiction-treatment,133.0,4.924812030075188,English,Beginner,92000,Coursera
Dino 101: Dinosaur Paleobiology,dino101,745.0,4.922147651006712,Lituania,Beginner,35000,Coursera
Sports Marketing,sports-marketing,216.0,4.699074074074074,English,Intermediate,12000,Coursera
Positive Psychology,positive-psychology,907.0,4.659316427783903,English,Mixed,180000,Coursera
Introduction to Programming with MATLAB,matlab,3120.0,4.811858974358974,English,Beginner,270000,Coursera
Preparing to Manage Human Resources,managing-human-resources,1469.0,4.835942818243703,English,Mixed,68000,Coursera
Solar Energy Basics,solar-energy-basics,409.0,4.767726161369193,English,Beginner,17000,Coursera
Front-End Web UI Frameworks and Tools: Bootstrap 4,bootstrap-4,1645.0,4.813981762917933,Afghanistan,Intermediate,89000,Coursera
Building Scalable Java Microservices with Spring Boot and Spring Cloud,google-cloud-java-spring,193.0,3.94300518134715,English,Intermediate,24000,Coursera
Introduction to Forensic Science,forensic-science,344.0,4.84593023255814,English,Mixed,47000,Coursera
American Contract Law I,contracts-1,102.0,4.852941176470588,English,Beginner,18000,Coursera
Engineering Health: Introduction to Yoga and Physiology,engineering-health-yoga-physiology,77.0,4.701298701298701,English,Beginner,14000,Coursera
AI for Medical Diagnosis,ai-for-medical-diagnosis,257.0,4.583657587548638,Italian,Intermediate,12000,Coursera
Introduction to Electronics,electronics,359.0,4.671309192200557,English,Mixed,110000,Coursera
International Humanitarian Law in Theory and Practice,international-humanitarian-law,191.0,4.842931937172775,English,Beginner,22000,Coursera
Making Architecture,making-architecture,232.0,4.823275862068965,English,Beginner,43000,Coursera
Model Thinking,model-thinking,382.0,4.772251308900524,English,Mixed,130000,Coursera
Supporting children with difficulties in reading and writing,dyslexia-difficulties,368.0,4.747282608695652,English,Mixed,50000,Coursera
Innovation Management,innovation-management,316.0,4.636075949367089,Netherlands,Beginner,40000,Coursera
The Manager's Toolkit: A Practical Guide to Managing People at Work,people-management,512.0,4.6328125,English,Mixed,47000,Coursera
"The Modern World, Part One: Global History from 1760 to 1910",modern-world,514.0,4.815175097276264,English,Beginner,130000,Coursera
Supply Chain Principles,supply-chain-principles,331.0,4.561933534743202,English,Mixed,29000,Coursera
Essential Google Cloud Infrastructure: Core Services,gcp-infrastructure-core-services,755.0,4.650331125827814,English,Intermediate,68000,Coursera
Weight Management: Beyond Balancing Calories,weight-management-beyond-balancing-calories,188.0,4.73936170212766,English,Beginner,34000,Coursera
Miracles of Human Language: An Introduction to Linguistics,human-language,483.0,4.666666666666667,English,Beginner,120000,Coursera
Java Programming: Solving Problems with Software,java-programming,1122.0,4.435828877005347,English,Beginner,160000,Coursera
Inspiring and Motivating Individuals,motivate-people-teams,782.0,4.828644501278772,English,Mixed,85000,Coursera
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",competencias-digitales-ofimatica,1110.0,4.7855855855855856,Spanish,Beginner,43000,Coursera
Healing with the Arts,healing-with-the-arts,226.0,4.716814159292035,English,Mixed,39000,Coursera
People Analytics,wharton-people-analytics,893.0,4.511758118701008,English,Mixed,84000,Coursera
What is Social?,what-is-social,889.0,4.5860517435320585,English,Mixed,94000,Coursera
UX Design Fundamentals,ux-design-fundamentals,249.0,4.767068273092369,Deutsch,Beginner,25000,Coursera
Introduction to Classical Music,introclassicalmusic,792.0,4.909090909090909,English,Mixed,150000,Coursera
Introduction to Data Analysis Using Excel,excel-data-analysis,1542.0,4.675745784695201,English,Mixed,99000,Coursera
Introduction to International Criminal Law,international-criminal-law,602.0,4.835548172757475,English,Mixed,82000,Coursera
"FinTech: Foundations, Payments, and Regulations",wharton-fintech-overview-payments-regulations,270.0,4.57037037037037,English,Beginner,12000,Coursera
Greek and Roman Mythology,mythology,437.0,4.775743707093821,English,Mixed,260000,Coursera
Politics and Economics of International Energy,global-energy,318.0,4.720125786163522,English,Beginner,34000,Coursera
Continuous Delivery & DevOps,uva-darden-continous-delivery-devops,237.0,4.548523206751055,English,Beginner,26000,Coursera
Teach English Now! Foundational Principles,english-principles,2678.0,4.91411501120239,English,Mixed,81000,Coursera
Business Model Innovation,business-model,83.0,4.734939759036145,Italian,Mixed,13000,Coursera
Introduction to User Experience Principles and Processes,introtoux-principles-and-processes,191.0,4.7591623036649215,English,Beginner,16000,Coursera
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,58.0,4.672413793103448,English,Mixed,23000,Coursera
Process Mining: Data science in Action,process-mining,200.0,4.68,English,Intermediate,39000,Coursera
Fundamentals of Immunology: Innate Immunity and B-Cell Function,immunologyfundamentalsimmunitybcells,203.0,4.758620689655173,English,Intermediate,18000,Coursera
Introduction to Corporate Finance,wharton-finance,819.0,4.437118437118437,English,Mixed,130000,Coursera
Global Diplomacy: the United Nations in the World,global-diplomacy-un,290.0,4.679310344827586,English,Beginner,29000,Coursera
Algorithmic Toolbox,algorithmic-toolbox,1912.0,4.535564853556485,English,Intermediate,220000,Coursera
Troubles du spectre de l'autisme : diagnostic,troubles-spectre-autisme-diagnostic,94.0,4.872340425531915,French,Intermediate,54000,Coursera
Anatomy: Musculoskeletal and Integumentary Systems,anatomy403-1x,251.0,4.808764940239044,English,Beginner,20000,Coursera
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,crash-course-in-causality,92.0,4.619565217391305,English,Intermediate,17000,Coursera
English for Business and Entrepreneurship,business,1096.0,4.877737226277373,English,Beginner,230000,Coursera
What is Compliance?,what-is-compliance,119.0,4.798319327731092,English,Mixed,62000,Coursera
Getting Started with Google Sheets,getting-started-with-google-sheets,185.0,4.562162162162162,English,Beginner,18000,Coursera
Data Visualization with Python,python-for-data-visualization,1127.0,4.045252883762201,English,Intermediate,66000,Coursera
Negociación exitosa: Estrategias y habilidades esenciales (en español),negociacion,715.0,4.818181818181818,Spanish,Mixed,95000,Coursera
Data-driven Decision Making,decision-making,946.0,4.5073995771670194,English,Beginner,120000,Coursera
Fundamentals of Engineering Exam Review,fe-exam,132.0,4.393939393939394,English,Mixed,49000,Coursera
Gender and Sexuality: Diversity and Inclusion in the Workplace,gender-sexuality,123.0,4.650406504065041,English,Beginner,14000,Coursera
Managerial Accounting Fundamentals,uva-darden-managerial-accounting,77.0,4.87012987012987,English,Beginner,11000,Coursera
Search Engine Optimization Fundamentals,seo-fundamentals,471.0,4.719745222929936,English,Mixed,47000,Coursera
Essentials of Global Health,essentials-global-health,281.0,4.857651245551601,English,Mixed,31000,Coursera
International Security Management,international-security-management,79.0,4.658227848101266,English,Beginner,22000,Coursera
Getting Started with AWS Machine Learning,aws-machine-learning,1154.0,4.413344887348353,English,Intermediate,73000,Coursera
Arts and Heritage Management,arts-heritage,184.0,4.793478260869565,Netherlands,Mixed,15000,Coursera
Understanding Einstein: The Special Theory of Relativity,einstein-relativity,694.0,4.899135446685879,English,Beginner,89000,Coursera
Réussir le Changement,reussir-le-changement,434.0,4.394009216589862,French,Mixed,33000,Coursera
Equine Welfare and Management,equine,56.0,4.892857142857143,French,Beginner,72000,Coursera
International migrations: a global issue,international-migrations,60.0,4.316666666666666,English,Beginner,11000,Coursera
Introduction to Web Development,web-development,626.0,4.65335463258786,English,Beginner,76000,Coursera
Access Controls,access-control-sscp,45.0,4.466666666666667,English,Beginner,29000,Coursera
Engineering Project Management: Initiating and Planning,initiating-planning,471.0,4.764331210191083,English,Beginner,23000,Coursera
Kotlin for Java Developers,kotlin-for-java-developers,321.0,4.557632398753894,Norway,Intermediate,37000,Coursera
Mathematics for Machine Learning: Multivariate Calculus,multivariate-calculus-machine-learning,696.0,4.642241379310345,English,Beginner,51000,Coursera
The Addicted Brain,addiction-and-the-brain,438.0,4.5479452054794525,English,Beginner,130000,Coursera
Introducción a la programación en Python I: Aprendiendo a programar con Python,aprendiendo-programar-python,970.0,4.205154639175258,Spanish,Beginner,100000,Coursera
Modernizing Data Lakes and Data Warehouses with GCP,data-lakes-data-warehouses-gcp,225.0,4.604444444444445,English,Intermediate,91000,Coursera
Drug Discovery,drug-discovery,386.0,4.580310880829016,English,Beginner,39000,Coursera
Nutrition and Lifestyle in Pregnancy,nutrition-pregnancy,465.0,4.763440860215054,English,Intermediate,35000,Coursera
Financial Acumen for Non-Financial Managers,finance-healthcare-managers,107.0,4.252336448598131,English,Beginner,10000,Coursera
Python and Statistics for Financial Analysis,python-statistics-financial-analysis,437.0,4.270022883295194,English,Intermediate,41000,Coursera
Bugs 101: Insect-Human Interactions,bugs-101,297.0,4.962962962962963,English,Beginner,15000,Coursera
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,autodesk-revit-architectural-design,107.0,4.672897196261682,English,Advanced,97000,Coursera
"Leading for Equity, Diversity and Inclusion in Higher Education",leading-for-equity-diversity-inclusion,38.0,4.7105263157894735,English,Intermediate,59000,Coursera
Enterprise Architecture,enterprise-architecture,33.0,4.545454545454546,English,Beginner,24000,Coursera
Introduction to Spreadsheets and Models,wharton-introduction-spreadsheets-models,572.0,3.618881118881119,English,Mixed,76000,Coursera
The Arts and Science of Relationships: Understanding Human Needs,human-needs,283.0,4.431095406360424,English,Beginner,73000,Coursera
Essentials in Clinical Simulations Across the Health Professions,clinicalsimulations,158.0,4.816455696202532,English,Intermediate,41000,Coursera
Budgeting and Scheduling Projects,schedule-projects,887.0,4.730552423900789,English,Mixed,84000,Coursera
Machine Learning for Business Professionals,machine-learning-business-professionals,874.0,4.574370709382151,English,Intermediate,58000,Coursera
Spanish Vocabulary: Meeting People,spanish-vocabulary-meeting-people,478.0,4.518828451882845,English,Beginner,71000,Coursera
Public Policy Challenges of the 21st Century,public-policy,272.0,4.566176470588236,English,Beginner,52000,Coursera
International Law in Action: the Arbitration of International Disputes,arbitration-international-disputes,102.0,4.852941176470588,English,Mixed,19000,Coursera
Financing and Investing in Infrastructure,infrastructure-investing,356.0,4.842696629213483,English,Mixed,24000,Coursera
Global Environmental Management,global-environmental-management,283.0,4.657243816254417,English,Intermediate,22000,Coursera
Operations Analytics,wharton-operations-analytics,830.0,4.660240963855422,English,Mixed,80000,Coursera
Entrepreneurship Strategy: From Ideation to Exit,entrepreneurship-strategy,6.0,1.0,English,Beginner,20000,Coursera
FinTech Law and Policy,fintechlawandpolicy,109.0,4.825688073394495,English,Beginner,97000,Coursera
